site_id,region,water_source,pH,turbidity_ntu,dissolved_oxygen_mgL,nitrates_mgL,ec_uscm,sampling_date,ph_category,tb_category,dissolved_oxygen,nitrates,electric_cond,Water_Status,source_type
W0166,Harare,Mutare Borehole,8.61,1.15,8.7,25.34,1270.5,2025-06-15,basic,Low Clear,normal(healthy),unsafe,unsafe,UNSAFE,Borehole
W0167,Midlands,Mutare Borehole,8.87,24.68,2.7,8.04,891.32,2025-06-16,basic,normal,Low (poor),normal(acceptable),normal(acceptable),UNSAFE,Borehole
W0168,Mashonaland East,Save River,5.95,70.81,8.4,4.69,861.55,2025-06-17,acidic,unsafe,normal(healthy),normal(acceptable),normal(acceptable),UNSAFE,River
W0169,Masvingo,Harare Borehole,6.37,141.7,4.71,25.59,202.63,2025-06-18,acidic,unsafe,Low (poor),unsafe,Low (fresh),UNSAFE,Borehole
W0170,Bulawayo,Save River,6.11,16.23,7.93,1.4,292.67,2025-06-19,acidic,normal,normal(healthy),Low (safe),Low (fresh),UNSAFE,River
W0171,Mashonaland Central,Mazowe River,6.19,128.28,8.8,18.59,1459.44,2025-06-20,acidic,unsafe,normal(healthy),unsafe,unsafe,UNSAFE,River
W0172,Harare,Mutare Borehole,8.6,79.53,4.31,16.86,381.31,2025-06-21,basic,unsafe,Low (poor),unsafe,normal(acceptable),UNSAFE,Borehole
W0173,Mashonaland West,Gwayi River,6.73,124.06,6.57,10.38,1467.31,2025-06-22,neutral,unsafe,normal(healthy),unsafe,unsafe,UNSAFE,River
W0174,Harare,Bulawayo Borehole,6.65,45.46,3.9,9.46,821.27,2025-06-23,neutral,normal,Low (poor),normal(acceptable),normal(acceptable),UNSAFE,Borehole
W0175,Matabeleland North,Gweru Borehole,6.34,126.15,2.52,23.16,246.89,2025-06-24,acidic,unsafe,Low (poor),unsafe,Low (fresh),UNSAFE,Borehole
W0176,Harare,Harare Borehole,7.75,116.15,5.78,2.59,193.99,2025-06-25,basic,unsafe,normal(healthy),Low (safe),Low (fresh),UNSAFE,Borehole
W0177,Harare,Manyame River,6.9,35.28,5.63,7.1,352.85,2025-06-26,neutral,normal,normal(healthy),normal(acceptable),normal(acceptable),SAFE,River
W0178,Bulawayo,Save River,8.25,20.57,11.95,21.97,1392.17,2025-06-27,basic,normal,very Good,unsafe,unsafe,UNSAFE,River
W0179,Bulawayo,Gweru Borehole,6.26,130.34,6.46,16.45,650.52,2025-06-28,acidic,unsafe,normal(healthy),unsafe,normal(acceptable),UNSAFE,Borehole
W0180,Manicaland,Manyame River,8.41,144.52,5.34,3.84,623.38,2025-06-29,basic,unsafe,normal(healthy),normal(acceptable),normal(acceptable),UNSAFE,River
W0181,Masvingo,Gweru Borehole,7.73,5.66,7.8,26.46,504.15,2025-06-30,basic,normal,normal(healthy),unsafe,normal(acceptable),UNSAFE,Borehole
W0182,Mashonaland West,Bulawayo Borehole,5.92,109.96,2.89,11.8,263.24,2025-07-01,acidic,unsafe,Low (poor),unsafe,Low (fresh),UNSAFE,Borehole
W0183,Harare,Manyame River,7.03,136.52,11.62,24.84,757.38,2025-07-02,neutral,unsafe,very Good,unsafe,normal(acceptable),UNSAFE,River
W0184,Harare,Tugwi-Mukosi Dam,8.7,128.75,8.35,23.63,238.57,2025-07-03,basic,unsafe,normal(healthy),unsafe,Low (fresh),UNSAFE,Dam
W0185,Mashonaland Central,Umzingwane Dam,8.91,144.71,9.55,18.73,1261.45,2025-07-04,basic,unsafe,very Good,unsafe,unsafe,UNSAFE,Dam
W0186,Bulawayo,Tugwi-Mukosi Dam,7.22,114.25,3.7,14.83,587.08,2025-07-05,neutral,unsafe,Low (poor),unsafe,normal(acceptable),UNSAFE,Dam
W0187,Mashonaland West,Mutare Borehole,7.28,66.9,6.09,29.39,593.47,2025-07-06,neutral,unsafe,normal(healthy),unsafe,normal(acceptable),UNSAFE,Borehole
W0188,Midlands,Umzingwane Dam,8.9,47.48,6.23,4.35,737.31,2025-07-07,basic,normal,normal(healthy),normal(acceptable),normal(acceptable),UNSAFE,Dam
W0189,Manicaland,Tugwi-Mukosi Dam,7.67,48.79,10.22,21.75,693.99,2025-07-08,basic,normal,very Good,unsafe,normal(acceptable),UNSAFE,Dam
W0190,Masvingo,Umzingwane Dam,5.62,108.94,2.01,5.74,1492.54,2025-07-09,acidic,unsafe,Low (poor),normal(acceptable),unsafe,UNSAFE,Dam
W0191,Mashonaland East,Umzingwane Dam,8.88,112.13,5.01,10.15,840.8,2025-07-10,basic,unsafe,normal(healthy),unsafe,normal(acceptable),UNSAFE,Dam
W0192,Masvingo,Gwayi River,6.42,30.85,11.81,9.26,177.89,2025-07-11,acidic,normal,very Good,normal(acceptable),Low (fresh),UNSAFE,River
W0193,Matabeleland North,Save River,7.64,130.35,6.75,28.41,929.97,2025-07-12,basic,unsafe,normal(healthy),unsafe,normal(acceptable),UNSAFE,River
W0194,Harare,Save River,6.11,107.52,5.83,29.02,269.8,2025-07-13,acidic,unsafe,normal(healthy),unsafe,Low (fresh),UNSAFE,River
W0195,Manicaland,Gwayi River,5.63,84.85,3.2,5.49,94.86,2025-07-14,acidic,unsafe,Low (poor),normal(acceptable),Low (fresh),UNSAFE,River
W0196,Matabeleland North,Gweru Borehole,6.65,71.26,11.74,0.66,1457.58,2025-07-15,neutral,unsafe,very Good,Low (safe),unsafe,UNSAFE,Borehole
W0197,Mashonaland West,Mazowe River,8.39,81.94,2.2,21.6,1171.63,2025-07-16,basic,unsafe,Low (poor),unsafe,unsafe,UNSAFE,River
W0198,Mashonaland East,Gweru Borehole,6.53,24.73,9.37,12.54,1471.16,2025-07-17,neutral,normal,very Good,unsafe,unsafe,UNSAFE,Borehole
W0199,Bulawayo,Manyame River,6.31,31.35,9.69,2.67,742.92,2025-07-18,acidic,normal,very Good,Low (safe),normal(acceptable),UNSAFE,River
W0200,Manicaland,Manyame River,6.29,14.58,4.44,20.51,821.77,2025-07-19,acidic,normal,Low (poor),unsafe,normal(acceptable),UNSAFE,River
W0201,Manicaland,Umzingwane Dam,7.41,23.9,8.72,16.35,294.09,2025-07-20,neutral,normal,normal(healthy),unsafe,Low (fresh),UNSAFE,Dam
W0202,Harare,Tugwi-Mukosi Dam,9.11,68.6,2.93,29.42,408.02,2025-07-21,basic,unsafe,Low (poor),unsafe,normal(acceptable),UNSAFE,Dam
W0203,Matabeleland South,Tugwi-Mukosi Dam,7.2,80.02,4.57,6.82,1265.9,2025-07-22,neutral,unsafe,Low (poor),normal(acceptable),unsafe,UNSAFE,Dam
W0204,Manicaland,Save River,7.56,3.66,9.88,12.12,566.47,2025-07-23,basic,Low Clear,very Good,unsafe,normal(acceptable),UNSAFE,River
W0205,Mashonaland Central,Harare Borehole,8.68,119.72,10.65,16.28,1248.88,2025-07-24,basic,unsafe,very Good,unsafe,unsafe,UNSAFE,Borehole
W0206,Mashonaland East,Gweru Borehole,7.48,44.83,8.08,23.75,1078.07,2025-07-25,neutral,normal,normal(healthy),unsafe,unsafe,UNSAFE,Borehole
W0207,Mashonaland East,Mutare Borehole,6.18,136.86,7.07,16.47,306.9,2025-07-26,acidic,unsafe,normal(healthy),unsafe,normal(acceptable),UNSAFE,Borehole
W0208,Mashonaland Central,Bulawayo Borehole,6.61,145.16,3.59,18.39,785.8,2025-07-27,neutral,unsafe,Low (poor),unsafe,normal(acceptable),UNSAFE,Borehole
W0209,Midlands,Tugwi-Mukosi Dam,6.65,28.63,2.63,6.78,1032.21,2025-07-28,neutral,normal,Low (poor),normal(acceptable),unsafe,UNSAFE,Dam
W0210,Mashonaland Central,Bulawayo Borehole,6.97,69.85,3.18,25.41,390.8,2025-07-29,neutral,unsafe,Low (poor),unsafe,normal(acceptable),UNSAFE,Borehole
W0211,Mashonaland Central,Umzingwane Dam,7.08,1.18,4.27,12.86,1254.5,2025-07-30,neutral,Low Clear,Low (poor),unsafe,unsafe,UNSAFE,Dam
W0212,Mashonaland East,Bulawayo Borehole,8.46,90.15,5.42,4.23,840.0,2025-07-31,basic,unsafe,normal(healthy),normal(acceptable),normal(acceptable),UNSAFE,Borehole
W0213,Masvingo,Mutare Borehole,6.79,91.49,5.81,19.93,289.6,2025-08-01,neutral,unsafe,normal(healthy),unsafe,Low (fresh),UNSAFE,Borehole
W0214,Mashonaland East,Gwayi River,7.23,37.88,5.46,6.48,895.33,2025-08-02,neutral,normal,normal(healthy),normal(acceptable),normal(acceptable),SAFE,River
W0215,Matabeleland South,Mutare Borehole,7.81,84.2,4.39,2.93,1499.59,2025-08-03,basic,unsafe,Low (poor),Low (safe),unsafe,UNSAFE,Borehole
W0216,Harare,Bulawayo Borehole,6.9,34.61,7.1,25.86,268.26,2025-08-04,neutral,normal,normal(healthy),unsafe,Low (fresh),UNSAFE,Borehole
W0217,Matabeleland North,Mutare Borehole,8.6,24.96,10.25,13.8,1234.3,2025-08-05,basic,normal,very Good,unsafe,unsafe,UNSAFE,Borehole
W0218,Masvingo,Mazowe River,7.67,98.08,4.8,22.48,350.6,2025-08-06,basic,unsafe,Low (poor),unsafe,normal(acceptable),UNSAFE,River
W0219,Bulawayo,Umzingwane Dam,6.59,49.56,11.42,8.72,1184.46,2025-08-07,neutral,normal,very Good,normal(acceptable),unsafe,UNSAFE,Dam
W0220,Matabeleland North,Gweru Borehole,8.14,88.95,10.73,23.61,1115.14,2025-08-08,basic,unsafe,very Good,unsafe,unsafe,UNSAFE,Borehole
W0221,Harare,Gwayi River,7.45,65.55,3.62,3.36,485.71,2025-08-09,neutral,unsafe,Low (poor),normal(acceptable),normal(acceptable),UNSAFE,River
W0222,Matabeleland South,Tugwi-Mukosi Dam,7.48,147.67,9.86,10.68,522.44,2025-08-10,neutral,unsafe,very Good,unsafe,normal(acceptable),UNSAFE,Dam
W0223,Matabeleland South,Manyame River,7.28,23.29,7.75,29.34,1199.16,2025-08-11,neutral,normal,normal(healthy),unsafe,unsafe,UNSAFE,River
W0224,Bulawayo,Gweru Borehole,7.34,70.23,7.67,23.82,719.1,2025-08-12,neutral,unsafe,normal(healthy),unsafe,normal(acceptable),UNSAFE,Borehole
W0225,Masvingo,Manyame River,8.33,102.39,5.91,14.92,1109.69,2025-08-13,basic,unsafe,normal(healthy),unsafe,unsafe,UNSAFE,River
W0226,Midlands,Umzingwane Dam,5.88,59.94,7.01,10.19,264.58,2025-08-14,acidic,unsafe,normal(healthy),unsafe,Low (fresh),UNSAFE,Dam
W0227,Mashonaland Central,Gwayi River,6.74,146.23,5.97,26.16,1286.21,2025-08-15,neutral,unsafe,normal(healthy),unsafe,unsafe,UNSAFE,River
W0228,Masvingo,Save River,5.78,108.56,7.4,16.35,1080.78,2025-08-16,acidic,unsafe,normal(healthy),unsafe,unsafe,UNSAFE,River
W0229,Midlands,Tugwi-Mukosi Dam,8.29,98.89,8.28,22.75,1365.07,2025-08-17,basic,unsafe,normal(healthy),unsafe,unsafe,UNSAFE,Dam
W0230,Matabeleland South,Mazowe River,6.51,113.8,8.74,22.62,241.94,2025-08-18,neutral,unsafe,normal(healthy),unsafe,Low (fresh),UNSAFE,River
W0231,Mashonaland East,Save River,8.82,142.94,7.32,0.54,909.87,2025-08-19,basic,unsafe,normal(healthy),Low (safe),normal(acceptable),UNSAFE,River
W0232,Harare,Umzingwane Dam,7.45,136.26,9.21,3.79,918.72,2025-08-20,neutral,unsafe,very Good,normal(acceptable),normal(acceptable),UNSAFE,Dam
W0233,Bulawayo,Gweru Borehole,8.46,108.92,3.41,19.79,562.52,2025-08-21,basic,unsafe,Low (poor),unsafe,normal(acceptable),UNSAFE,Borehole
W0234,Harare,Mazowe River,9.12,112.63,4.12,4.85,714.78,2025-08-22,basic,unsafe,Low (poor),normal(acceptable),normal(acceptable),UNSAFE,River
W0235,Mashonaland West,Mutare Borehole,8.61,22.74,10.19,7.66,105.07,2025-08-23,basic,normal,very Good,normal(acceptable),Low (fresh),UNSAFE,Borehole
W0236,Mashonaland West,Bulawayo Borehole,8.71,16.32,5.23,28.4,1131.5,2025-08-24,basic,normal,normal(healthy),unsafe,unsafe,UNSAFE,Borehole
W0237,Masvingo,Mazowe River,7.01,86.06,2.23,16.81,846.52,2025-08-25,neutral,unsafe,Low (poor),unsafe,normal(acceptable),UNSAFE,River
W0238,Matabeleland South,Umzingwane Dam,7.54,3.74,3.54,22.52,133.72,2025-08-26,basic,Low Clear,Low (poor),unsafe,Low (fresh),UNSAFE,Dam
W0239,Matabeleland South,Harare Borehole,6.44,72.87,4.24,16.74,1037.1,2025-08-27,acidic,unsafe,Low (poor),unsafe,unsafe,UNSAFE,Borehole
W0240,Mashonaland Central,Bulawayo Borehole,6.23,32.34,11.57,16.58,726.83,2025-08-28,acidic,normal,very Good,unsafe,normal(acceptable),UNSAFE,Borehole
W0241,Mashonaland Central,Manyame River,7.37,52.56,7.73,2.82,99.97,2025-08-29,neutral,unsafe,normal(healthy),Low (safe),Low (fresh),UNSAFE,River
W0242,Mashonaland Central,Tugwi-Mukosi Dam,7.7,116.59,11.33,10.31,1455.93,2025-08-30,basic,unsafe,very Good,unsafe,unsafe,UNSAFE,Dam
W0243,Mashonaland East,Manyame River,6.76,141.24,7.75,8.47,1426.21,2025-08-31,neutral,unsafe,normal(healthy),normal(acceptable),unsafe,UNSAFE,River
W0244,Matabeleland North,Mazowe River,7.61,11.79,6.79,11.72,793.71,2025-09-01,basic,normal,normal(healthy),unsafe,normal(acceptable),UNSAFE,River
W0245,Manicaland,Manyame River,8.78,80.6,5.14,23.95,185.83,2025-09-02,basic,unsafe,normal(healthy),unsafe,Low (fresh),UNSAFE,River
W0246,Matabeleland North,Umzingwane Dam,7.56,132.5,8.06,11.16,1144.2,2025-09-03,basic,unsafe,normal(healthy),unsafe,unsafe,UNSAFE,Dam
W0247,Harare,Mutare Borehole,8.17,13.29,3.39,13.55,763.3,2025-09-04,basic,normal,Low (poor),unsafe,normal(acceptable),UNSAFE,Borehole
W0248,Matabeleland North,Gweru Borehole,8.48,123.85,10.98,11.92,488.55,2025-09-05,basic,unsafe,very Good,unsafe,normal(acceptable),UNSAFE,Borehole
W0249,Mashonaland East,Tugwi-Mukosi Dam,9.16,54.31,10.29,2.8,762.56,2025-09-06,basic,unsafe,very Good,Low (safe),normal(acceptable),UNSAFE,Dam
W0250,Harare,Manyame River,7.73,48.99,5.18,13.23,807.54,2025-09-07,basic,normal,normal(healthy),unsafe,normal(acceptable),UNSAFE,River
W0251,Matabeleland North,Manyame River,8.49,146.64,11.53,5.87,865.93,2025-09-08,basic,unsafe,very Good,normal(acceptable),normal(acceptable),UNSAFE,River
W0252,Mashonaland East,Mazowe River,9.06,30.93,10.25,5.6,689.77,2025-09-09,basic,normal,very Good,normal(acceptable),normal(acceptable),UNSAFE,River
W0253,Manicaland,Gweru Borehole,8.99,104.29,8.66,2.82,928.35,2025-09-10,basic,unsafe,normal(healthy),Low (safe),normal(acceptable),UNSAFE,Borehole
W0254,Matabeleland North,Save River,6.02,123.39,3.22,10.7,1382.17,2025-09-11,acidic,unsafe,Low (poor),unsafe,unsafe,UNSAFE,River
W0255,Mashonaland East,Manyame River,7.0,7.14,6.78,22.72,575.29,2025-09-12,neutral,normal,normal(healthy),unsafe,normal(acceptable),UNSAFE,River
W0256,Mashonaland Central,Umzingwane Dam,6.7,100.89,7.06,8.29,1102.29,2025-09-13,neutral,unsafe,normal(healthy),normal(acceptable),unsafe,UNSAFE,Dam
W0257,Matabeleland South,Harare Borehole,5.82,142.78,4.33,9.37,1346.96,2025-09-14,acidic,unsafe,Low (poor),normal(acceptable),unsafe,UNSAFE,Borehole
W0258,Mashonaland Central,Tugwi-Mukosi Dam,7.84,19.51,2.8,19.28,711.17,2025-09-15,basic,normal,Low (poor),unsafe,normal(acceptable),UNSAFE,Dam
W0259,Matabeleland South,Manyame River,8.22,134.54,9.77,5.88,693.01,2025-09-16,basic,unsafe,very Good,normal(acceptable),normal(acceptable),UNSAFE,River
W0260,Bulawayo,Umzingwane Dam,8.64,89.62,3.22,26.91,923.07,2025-09-17,basic,unsafe,Low (poor),unsafe,normal(acceptable),UNSAFE,Dam
W0261,Bulawayo,Umzingwane Dam,5.95,92.87,7.94,15.61,907.54,2025-09-18,acidic,unsafe,normal(healthy),unsafe,normal(acceptable),UNSAFE,Dam
W0262,Bulawayo,Tugwi-Mukosi Dam,8.74,92.33,11.36,13.43,1219.55,2025-09-19,basic,unsafe,very Good,unsafe,unsafe,UNSAFE,Dam
W0263,Manicaland,Save River,7.88,45.53,10.76,16.73,740.9,2025-09-20,basic,normal,very Good,unsafe,normal(acceptable),UNSAFE,River
W0264,Mashonaland Central,Umzingwane Dam,8.1,140.35,4.78,4.98,1494.38,2025-09-21,basic,unsafe,Low (poor),normal(acceptable),unsafe,UNSAFE,Dam
W0265,Matabeleland South,Harare Borehole,8.87,142.16,10.51,18.4,136.23,2025-09-22,basic,unsafe,very Good,unsafe,Low (fresh),UNSAFE,Borehole
W0266,Mashonaland East,Umzingwane Dam,7.81,94.17,2.0,10.89,54.59,2025-09-23,basic,unsafe,Low (poor),unsafe,Low (fresh),UNSAFE,Dam
W0267,Harare,Umzingwane Dam,6.74,117.73,2.18,26.92,978.29,2025-09-24,neutral,unsafe,Low (poor),unsafe,normal(acceptable),UNSAFE,Dam
W0268,Mashonaland East,Umzingwane Dam,8.55,92.23,8.03,5.07,482.73,2025-09-25,basic,unsafe,normal(healthy),normal(acceptable),normal(acceptable),UNSAFE,Dam
W0269,Harare,Mutare Borehole,6.84,73.18,5.65,15.21,398.55,2025-09-26,neutral,unsafe,normal(healthy),unsafe,normal(acceptable),UNSAFE,Borehole
W0270,Mashonaland West,Mutare Borehole,5.63,99.46,5.86,17.94,502.25,2025-09-27,acidic,unsafe,normal(healthy),unsafe,normal(acceptable),UNSAFE,Borehole
W0271,Mashonaland East,Save River,8.57,83.4,7.64,1.0,421.27,2025-09-28,basic,unsafe,normal(healthy),Low (safe),normal(acceptable),UNSAFE,River
W0272,Matabeleland North,Manyame River,6.78,90.02,3.92,10.91,94.65,2025-09-29,neutral,unsafe,Low (poor),unsafe,Low (fresh),UNSAFE,River
W0273,Matabeleland North,Umzingwane Dam,8.36,117.79,4.12,21.98,1458.72,2025-09-30,basic,unsafe,Low (poor),unsafe,unsafe,UNSAFE,Dam
W0274,Masvingo,Gweru Borehole,6.84,72.65,6.85,24.61,370.08,2025-10-01,neutral,unsafe,normal(healthy),unsafe,normal(acceptable),UNSAFE,Borehole
W0275,Mashonaland Central,Manyame River,8.69,7.07,9.54,9.39,1114.34,2025-10-02,basic,normal,very Good,normal(acceptable),unsafe,UNSAFE,River
W0276,Harare,Save River,6.31,25.44,8.19,23.96,1155.76,2025-10-03,acidic,normal,normal(healthy),unsafe,unsafe,UNSAFE,River
W0277,Harare,Gwayi River,9.11,66.35,4.97,29.03,1397.42,2025-10-04,basic,unsafe,Low (poor),unsafe,unsafe,UNSAFE,River
W0278,Mashonaland Central,Manyame River,8.39,109.0,6.3,25.71,94.3,2025-10-05,basic,unsafe,normal(healthy),unsafe,Low (fresh),UNSAFE,River
W0279,Manicaland,Manyame River,5.92,89.4,3.71,3.53,1314.47,2025-10-06,acidic,unsafe,Low (poor),normal(acceptable),unsafe,UNSAFE,River
W0280,Masvingo,Bulawayo Borehole,7.59,97.89,2.75,22.19,814.48,2025-10-07,basic,unsafe,Low (poor),unsafe,normal(acceptable),UNSAFE,Borehole
W0281,Manicaland,Mazowe River,9.15,72.41,9.83,9.59,967.19,2025-10-08,basic,unsafe,very Good,normal(acceptable),normal(acceptable),UNSAFE,River
W0282,Manicaland,Bulawayo Borehole,7.24,92.75,4.65,29.65,984.48,2025-10-09,neutral,unsafe,Low (poor),unsafe,normal(acceptable),UNSAFE,Borehole
W0283,Manicaland,Harare Borehole,6.17,50.02,3.78,14.56,1238.71,2025-10-10,acidic,unsafe,Low (poor),unsafe,unsafe,UNSAFE,Borehole
W0284,Mashonaland Central,Mutare Borehole,7.29,71.06,8.92,3.67,533.44,2025-10-11,neutral,unsafe,normal(healthy),normal(acceptable),normal(acceptable),UNSAFE,Borehole
W0285,Manicaland,Mutare Borehole,7.4,111.9,8.18,21.76,1112.92,2025-10-12,neutral,unsafe,normal(healthy),unsafe,unsafe,UNSAFE,Borehole
W0286,Matabeleland North,Mazowe River,8.24,130.9,8.33,9.69,816.44,2025-10-13,basic,unsafe,normal(healthy),normal(acceptable),normal(acceptable),UNSAFE,River
W0287,Bulawayo,Tugwi-Mukosi Dam,8.09,65.61,4.29,29.91,1200.42,2025-10-14,basic,unsafe,Low (poor),unsafe,unsafe,UNSAFE,Dam
W0288,Mashonaland West,Tugwi-Mukosi Dam,6.99,7.51,4.33,29.39,1486.29,2025-10-15,neutral,normal,Low (poor),unsafe,unsafe,UNSAFE,Dam
W0289,Harare,Save River,6.31,25.09,4.21,19.68,340.94,2025-10-16,acidic,normal,Low (poor),unsafe,normal(acceptable),UNSAFE,River
W0290,Harare,Mazowe River,7.89,4.11,3.74,3.89,1492.24,2025-10-17,basic,Low Clear,Low (poor),normal(acceptable),unsafe,UNSAFE,River
W0291,Mashonaland West,Manyame River,7.06,98.34,8.56,20.61,180.23,2025-10-18,neutral,unsafe,normal(healthy),unsafe,Low (fresh),UNSAFE,River
W0292,Mashonaland Central,Tugwi-Mukosi Dam,5.99,50.51,10.48,2.79,53.36,2025-10-19,acidic,unsafe,very Good,Low (safe),Low (fresh),UNSAFE,Dam
W0293,Mashonaland East,Umzingwane Dam,8.83,81.83,9.24,0.88,114.03,2025-10-20,basic,unsafe,very Good,Low (safe),Low (fresh),UNSAFE,Dam
W0294,Mashonaland Central,Gweru Borehole,8.06,74.5,9.92,24.69,545.58,2025-10-21,basic,unsafe,very Good,unsafe,normal(acceptable),UNSAFE,Borehole
W0295,Harare,Manyame River,8.03,13.15,6.05,6.29,967.71,2025-10-22,basic,normal,normal(healthy),normal(acceptable),normal(acceptable),SAFE,River
W0296,Harare,Harare Borehole,8.54,61.09,8.54,11.37,150.09,2025-10-23,basic,unsafe,normal(healthy),unsafe,Low (fresh),UNSAFE,Borehole
W0297,Mashonaland West,Umzingwane Dam,7.46,33.86,5.54,29.2,58.22,2025-10-24,neutral,normal,normal(healthy),unsafe,Low (fresh),UNSAFE,Dam
W0298,Manicaland,Umzingwane Dam,8.52,63.34,7.26,10.11,1408.78,2025-10-25,basic,unsafe,normal(healthy),unsafe,unsafe,UNSAFE,Dam
W0299,Mashonaland Central,Mazowe River,7.34,31.33,6.82,8.89,1241.79,2025-10-26,neutral,normal,normal(healthy),normal(acceptable),unsafe,UNSAFE,River
W0300,Matabeleland South,Save River,5.75,126.23,3.77,27.55,1223.32,2025-10-27,acidic,unsafe,Low (poor),unsafe,unsafe,UNSAFE,River
W0301,Mashonaland West,Harare Borehole,7.0,26.95,5.87,3.32,1332.42,2025-10-28,neutral,normal,normal(healthy),normal(acceptable),unsafe,UNSAFE,Borehole
W0302,Matabeleland North,Tugwi-Mukosi Dam,7.34,144.16,11.64,22.79,1065.05,2025-10-29,neutral,unsafe,very Good,unsafe,unsafe,UNSAFE,Dam
W0303,Harare,Mazowe River,8.16,62.97,4.49,29.64,201.39,2025-10-30,basic,unsafe,Low (poor),unsafe,Low (fresh),UNSAFE,River
W0304,Mashonaland West,Tugwi-Mukosi Dam,5.89,127.09,3.34,27.04,628.7,2025-10-31,acidic,unsafe,Low (poor),unsafe,normal(acceptable),UNSAFE,Dam
W0305,Mashonaland Central,Mazowe River,6.02,94.69,6.19,19.55,1098.57,2025-11-01,acidic,unsafe,normal(healthy),unsafe,unsafe,UNSAFE,River
W0306,Harare,Mazowe River,6.48,110.57,9.9,9.42,456.48,2025-11-02,acidic,unsafe,very Good,normal(acceptable),normal(acceptable),UNSAFE,River
W0307,Mashonaland East,Mazowe River,6.49,115.39,7.82,7.63,1046.74,2025-11-03,acidic,unsafe,normal(healthy),normal(acceptable),unsafe,UNSAFE,River
W0308,Mashonaland West,Save River,8.21,76.22,8.81,24.58,85.52,2025-11-04,basic,unsafe,normal(healthy),unsafe,Low (fresh),UNSAFE,River
W0309,Masvingo,Mazowe River,6.43,81.95,3.9,26.39,493.9,2025-11-05,acidic,unsafe,Low (poor),unsafe,normal(acceptable),UNSAFE,River
W0310,Harare,Gwayi River,7.84,77.59,8.19,15.76,846.24,2025-11-06,basic,unsafe,normal(healthy),unsafe,normal(acceptable),UNSAFE,River
W0311,Mashonaland Central,Gweru Borehole,7.33,88.62,5.24,7.33,966.53,2025-11-07,neutral,unsafe,normal(healthy),normal(acceptable),normal(acceptable),UNSAFE,Borehole
W0312,Bulawayo,Tugwi-Mukosi Dam,7.62,5.38,10.34,3.39,886.71,2025-11-08,basic,normal,very Good,normal(acceptable),normal(acceptable),SAFE,Dam
W0313,Matabeleland South,Manyame River,8.6,59.93,8.29,2.62,1061.75,2025-11-09,basic,unsafe,normal(healthy),Low (safe),unsafe,UNSAFE,River
W0314,Midlands,Bulawayo Borehole,7.0,91.32,3.99,21.57,58.83,2025-11-10,neutral,unsafe,Low (poor),unsafe,Low (fresh),UNSAFE,Borehole
W0315,Manicaland,Harare Borehole,8.35,90.06,2.65,12.6,196.36,2025-11-11,basic,unsafe,Low (poor),unsafe,Low (fresh),UNSAFE,Borehole
W0316,Midlands,Mutare Borehole,7.06,119.15,2.43,27.16,1309.97,2025-11-12,neutral,unsafe,Low (poor),unsafe,unsafe,UNSAFE,Borehole
W0317,Mashonaland Central,Save River,6.81,98.6,5.71,22.19,1038.54,2025-11-13,neutral,unsafe,normal(healthy),unsafe,unsafe,UNSAFE,River
W0318,Matabeleland North,Manyame River,9.05,148.83,4.66,5.74,213.75,2025-11-14,basic,unsafe,Low (poor),normal(acceptable),Low (fresh),UNSAFE,River
W0319,Matabeleland North,Umzingwane Dam,6.18,43.29,8.46,18.41,1271.01,2025-11-15,acidic,normal,normal(healthy),unsafe,unsafe,UNSAFE,Dam
W0320,Bulawayo,Gwayi River,5.83,54.51,6.99,13.07,401.24,2025-11-16,acidic,unsafe,normal(healthy),unsafe,normal(acceptable),UNSAFE,River
W0321,Manicaland,Mutare Borehole,8.35,58.19,4.66,17.32,743.48,2025-11-17,basic,unsafe,Low (poor),unsafe,normal(acceptable),UNSAFE,Borehole
W0322,Masvingo,Bulawayo Borehole,5.75,70.41,3.49,22.14,260.53,2025-11-18,acidic,unsafe,Low (poor),unsafe,Low (fresh),UNSAFE,Borehole
W0323,Bulawayo,Manyame River,8.6,125.56,3.27,24.19,1079.66,2025-11-19,basic,unsafe,Low (poor),unsafe,unsafe,UNSAFE,River
W0324,Midlands,Mutare Borehole,7.12,36.13,10.65,25.31,1016.94,2025-11-20,neutral,normal,very Good,unsafe,unsafe,UNSAFE,Borehole
W0325,Bulawayo,Manyame River,8.89,116.62,4.43,7.62,356.11,2025-11-21,basic,unsafe,Low (poor),normal(acceptable),normal(acceptable),UNSAFE,River
W0326,Midlands,Gwayi River,8.17,61.39,8.52,0.93,1301.93,2025-11-22,basic,unsafe,normal(healthy),Low (safe),unsafe,UNSAFE,River
W0327,Harare,Bulawayo Borehole,7.76,90.68,10.11,22.18,631.89,2025-11-23,basic,unsafe,very Good,unsafe,normal(acceptable),UNSAFE,Borehole
W0328,Matabeleland North,Umzingwane Dam,9.01,95.25,8.14,3.19,474.15,2025-11-24,basic,unsafe,normal(healthy),normal(acceptable),normal(acceptable),UNSAFE,Dam
W0329,Harare,Mazowe River,6.97,56.55,10.6,9.45,270.88,2025-11-25,neutral,unsafe,very Good,normal(acceptable),Low (fresh),UNSAFE,River
W0330,Matabeleland South,Tugwi-Mukosi Dam,9.03,77.38,5.92,0.11,435.94,2025-11-26,basic,unsafe,normal(healthy),Low (safe),normal(acceptable),UNSAFE,Dam
